node1	interaction	node2	connections
2236	0	58128	13
30957	0	76058	4
102897	0	72082	3
18022	0	4306	9
16273	0	44009	4
2142	0	22368	11
24987	0	49893	8
103202	0	107500	3
21129	0	23388	3
11951	0	22278	8
3348	0	9386	30
11414	0	18113	24
102839	0	2345	3
128086	0	67596	4
20137	0	3020	2
4256	0	44345	8
42967	0	92558	2
56694	0	59587	2
32378	0	65968	2
17903	0	38180	2
32248	0	32249	2
77873	0	98292	4
22700	0	50173	7
72403	0	92656	3
31774	0	77492	3
34113	0	97417	2
120378	0	67956	3
25320	0	5647	45
3305	0	3661	5
55650	0	98239	4
34316	0	57720	4
106115	0	95353	3
10835	0	78222	3
45705	0	73869	5
30997	0	59100	9
24226	0	34	18
75807	0	80456	6
20961	0	33671	2
116291	0	24230	7
72330	0	80654	3
123530	0	5970	3
58716	0	81320	3
31620	0	54890	5
14055	0	20084	4
44635	0	61910	3
129975	0	60082	2
106083	0	23514	6
117972	0	80973	2
27637	0	74343	6
